registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0001,Los Andes,2311,Granadero Baigorria,Los Robles,-32.8403283,-60.7165990,1.166228,"Los Andes, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",los andes|2311|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0002,Quito,1516,Granadero Baigorria,Nuestra Señora de La Paz,-32.8622021,-60.7295548,1.552525,"Quito, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",quito|1516|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0003,José Hernández,2027,Granadero Baigorria,No especificado,-32.8548543,-60.7224465,0.595618,"2027, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",jose hernandez|2027|granadero baigorria,3,APTO_ENTRENAMIENTO,
DG-0004,Callao,1476,Granadero Baigorria,San Miguel,-32.8596591,-60.7233131,1.131257,"1476, Callao, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",callao|1476|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0005,Baigorria,656,Granadero Baigorria,Centro,-32.8583562,-60.7074002,1.731933,"Hierros Baigorria, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",baigorria|656|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0006,Los Plátanos,528,Granadero Baigorria,Los Naranjos,-32.8648612,-60.7007381,2.665998,"Los Plátanos, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",los platanos|528|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0007,Secco,870,Granadero Baigorria,San Miguel,-32.8643700,-60.7126606,1.898659,"870, Pasaje Secco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",secco|870|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0008,San Juan,2515,Granadero Baigorria,Santa Rita,-32.8451484,-60.6999207,2.178030,"2515, San Juan, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",san juan|2515|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0009,Miguel Cané,1357,Granadero Baigorria,No especificado,-32.8552538,-60.7255166,0.693401,"1357, Miguel Cane, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",miguel cane|1357|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0010,Asunción,644,Granadero Baigorria,Nuestra Señora de La Paz,-32.8636147,-60.7269704,1.620403,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",asuncion|644|granadero baigorria,1,APTO_ENTRENAMIENTO,
