calle,altura,latitud,longitud,ciudad_detectada,barrio,direccion_osm
Los Andes,2311,-32.8403283,-60.716599,Granadero Baigorria,Los Robles,"Los Andes, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Quito,1516,-32.8622021,-60.7295548,Granadero Baigorria,Nuestra Señora de La Paz,"Quito, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
José Hernández,2027,-32.8548543,-60.7224465,Granadero Baigorria,No especificado,"2027, José Hernández, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Callao,1476,-32.8596591,-60.7233131,Granadero Baigorria,San Miguel,"1476, Callao, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Baigorria,656,-32.8583562,-60.7074002,Granadero Baigorria,Centro,"Hierros Baigorria, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Los Plátanos,528,-32.8648612,-60.7007381,Granadero Baigorria,Los Naranjos,"Los Plátanos, Los Naranjos, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Secco,870,-32.86437,-60.7126606,Granadero Baigorria,San Miguel,"870, Pasaje Secco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
San Juan,2515,-32.8451484,-60.6999207,Granadero Baigorria,Santa Rita,"2515, San Juan, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Miguel Cané,1357,-32.8552538,-60.7255166,Granadero Baigorria,No especificado,"1357, Miguel Cane, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Asunción,644,-32.8636147,-60.7269704,Granadero Baigorria,Nuestra Señora de La Paz,"Asunción, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Tafí,3212,-32.9859689,-60.6265901,Rosario,Saladillo,"Tafí, Villa Manuelita, Saladillo, Distrito Sur, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Jujuy,1050,-32.8376724,-60.7047243,Granadero Baigorria,Santa Rita,"Jujuy Pasage, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pueyrredón,576,-32.8615431,-60.7041803,Granadero Baigorria,Centro,"Pueyrredon, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Rosales,3269,-32.9316751,-60.8274034,Funes,Zona 2,"3269, Rosales, La Cardera, Zona 2, Funes, Municipio de Funes, Gran Rosario, Departamento Rosario, Santa Fe, S2132, Argentina"
San Lorenzo,2516,-32.8616732,-60.7074209,Granadero Baigorria,Centro,"San Lorenzo, Centro, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Rioja,3571,-32.8434584,-60.6992172,Granadero Baigorria,Santa Rita,"Rioja, Santa Rita, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Troilo,3243,-32.9466611,-60.7545853,Rosario,Tango,"Anibal Troilo, Tango, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Estrada,1309,-32.8579674,-60.7018924,Granadero Baigorria,El Paraíso,"José Manuel Estrada, El Paraíso, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Agrelo,2510,-32.8893127,-60.6924434,Rosario,Alberdi,"2510, Pedro José Agrelo, Alberdi, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Junín,1846,-32.8560387,-60.7192074,Granadero Baigorria,No especificado,"1846, Junín, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Pasco,992,-32.8618637,-60.7191056,Granadero Baigorria,San Miguel,"992, Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Mitre,1112,-32.86125,-60.7213806,Granadero Baigorria,San Miguel,"1112, Mitre, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Las Heras,1052,-32.8632399,-60.7197188,Granadero Baigorria,San Miguel,"1052, Las Heras, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 11,2457,-32.8468181,-60.7125216,Granadero Baigorria,Los Robles,"2457, Calle 11, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Calle 9,2324,-32.8488692,-60.7100818,Granadero Baigorria,Los Robles,"2324, Calle 9, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Lima,1756,-32.8628299,-60.728398,Granadero Baigorria,Nuestra Señora de La Paz,"Lima, Nuestra Señora de La Paz, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Catriel,884,-32.8563519,-60.7188889,Granadero Baigorria,No especificado,"884, Catriel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
La Loma,189,-32.9399852,-60.733458,Rosario,Antártida Argentina,"La Loma, Avenida Mendoza, Antártida Argentina, Distrito Noroeste, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
Namuncurá,933,-32.8554403,-60.7186713,Granadero Baigorria,No especificado,"933, Namuncurá, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
Liniers,2496,-32.8487857,-60.7184239,Granadero Baigorria,No especificado,"2496, Liniers, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina"
